512.6,1.743,0.0552,0.045,0.241,0.025
518.4,1.796,0.066,0.002,0.226,0.03
524.7,1.79,0.0642,0.007,0.228,0.031
530.4,1.764,0.0613,0.019,0.231,0.032
536.5,1.815,0.0717,0.005,0.219,0.033
542.8,1.827,0.0743,0.001,0.216,0.034
548.7,1.789,0.0697,-0.005,0.219,0.034
554.5,1.734,0.0642,0.01,0.227,0.035
560.5,1.762,0.0675,-0.017,0.219,0.036
566.7,1.797,0.0755,-0.013,0.212,0.037
572.6,1.758,0.0721,-0.003,0.217,0.038
578.5,1.702,0.0649,-0.012,0.223,0.038
584.5,1.723,0.0684,-0.013,0.218,0.039
590.6,1.77,0.0762,-0.028,0.208,0.041
596.7,1.737,0.0738,-0.018,0.212,0.04
602.5,1.699,0.0701,-0.019,0.216,0.041
608.6,1.696,0.0709,-0.027,0.213,0.041
614.6,1.707,0.0747,-0.032,0.21,0.043
620.5,1.682,0.0724,-0.029,0.212,0.043
626.7,1.689,0.0751,-0.034,0.209,0.044
632.7,1.688,0.076,-0.041,0.207,0.044
638.6,1.676,0.0742,-0.04,0.208,0.044
644.6,1.657,0.0735,-0.053,0.208,0.045
650.6,1.624,0.0697,-0.028,0.213,0.045
656.6,1.641,0.0743,-0.071,0.205,0.047
662.6,1.625,0.073,-0.048,0.208,0.046
668.8,1.635,0.0755,-0.066,0.203,0.047
674.7,1.597,0.0713,-0.054,0.209,0.047
680.6,1.565,0.0683,-0.036,0.214,0.048
686.7,1.549,0.0655,-0.033,0.217,0.048
692.6,1.555,0.0674,-0.039,0.214,0.048
698.6,1.551,0.0686,-0.053,0.211,0.049
704.7,1.546,0.071,-0.049,0.21,0.049
710.8,1.527,0.0665,-0.047,0.214,0.05
716.7,1.521,0.0667,-0.05,0.213,0.051
722.7,1.512,0.0673,-0.036,0.214,0.051
728.7,1.501,0.0649,-0.034,0.216,0.051
734.7,1.507,0.0686,-0.041,0.212,0.051
740.7,1.499,0.0689,-0.039,0.213,0.052
746.8,1.483,0.0666,-0.03,0.215,0.052
752.8,1.487,0.0692,-0.038,0.212,0.052
758.7,1.465,0.0666,-0.025,0.217,0.053
764.8,1.464,0.0661,-0.029,0.216,0.053
770.7,1.454,0.0655,-0.017,0.218,0.054
776.7,1.432,0.0625,0.002,0.224,0.054
782.7,1.433,0.0651,-0.008,0.22,0.054
788.8,1.425,0.0626,0.008,0.224,0.054
794.7,1.435,0.0655,-0.012,0.219,0.055
800.7,1.419,0.0619,0.006,0.224,0.055
806.8,1.417,0.0618,0.006,0.224,0.055
812.7,1.42,0.0621,0.006,0.223,0.055
818.7,1.422,0.0619,0.007,0.224,0.056
824.8,1.414,0.0592,0.021,0.227,0.056
830.8,1.409,0.0572,0.026,0.23,0.056
836.8,1.413,0.0581,0.023,0.228,0.056
842.8,1.421,0.0599,0.02,0.226,0.056
848.8,1.426,0.0655,0.022,0.221,0.056
854.6,1.408,0.0583,0.036,0.23,0.058
860.7,1.414,0.06,0.041,0.227,0.056
866.7,1.418,0.0613,0.029,0.225,0.058
872.7,1.415,0.0622,0.042,0.225,0.056
878.7,1.418,0.063,0.037,0.224,0.057
899.4,1.335,0.0681,0.285,0.254,0.057
907.5,2.152,0.1346,-0.768,0.067,0.059
915.4,1.761,0.1026,-0.995,0.088,0.061
923.3,1.401,0.0424,0.268,0.273,0.063
931.4,1.498,0.0844,0.028,0.202,0.061
939.4,1.394,0.0435,0.195,0.264,0.061
947.4,1.37,0.0591,0.087,0.237,0.061
955.4,1.413,0.0534,0.126,0.241,0.062
963.5,1.369,0.0544,0.091,0.24,0.062
971.4,1.407,0.0416,0.185,0.263,0.062
979.7,1.4,0.0416,0.117,0.255,0.063
987.6,1.47,0.0316,0.25,0.281,0.064
993.7,1.377,0.051,0.074,0.238,0.064
1003.6,1.388,0.0462,0.116,0.247,-999
1013.1,1.399,0.0416,0.157,0.256,0.066
1019.5,1.378,0.0397,0.172,0.263,0.066
1027.7,1.344,0.0414,0.159,0.26,0.067
1035.5,1.351,0.0407,0.2,0.264,0.068
1043.6,1.335,0.0437,0.092,0.249,0.068
1051.7,1.335,0.0397,0.181,0.263,0.069
1059.7,1.297,0.0444,0.161,0.256,0.07
1067.8,1.275,0.0498,0.094,0.244,0.07
1075.8,1.308,0.0394,0.183,0.262,0.071
1083.6,1.256,0.0509,0.078,0.24,0.072
1091.8,1.252,0.0445,0.125,0.251,0.073
1099.7,1.259,0.0408,0.171,0.26,0.075
1107.7,1.257,0.0375,0.205,0.268,0.074
1115.9,1.212,0.0496,0.077,0.242,0.076
1123.8,1.241,0.039,0.185,0.262,0.077
1131.8,1.21,0.0456,0.113,0.248,0.077
1139.7,1.209,0.0425,0.13,0.252,0.077
1147.8,1.187,0.0457,0.125,0.249,0.078
1155.7,1.203,0.0402,0.14,0.256,0.078
1163.8,1.164,0.0471,0.114,0.246,0.079
1171.8,1.194,0.0395,0.143,0.256,0.079
1179.8,1.151,0.0511,0.087,0.24,0.081
1187.8,1.157,0.0457,0.113,0.247,0.082
1195.8,1.131,0.0561,0.075,0.235,0.082
1203.9,1.131,0.0491,0.099,0.243,0.083
1211.9,1.127,0.051,0.098,0.24,0.084
1219.8,1.116,0.0527,0.073,0.237,0.083
1227.9,1.106,0.0527,0.096,0.239,0.084
1235.9,1.11,0.0584,0.048,0.228,0.084
1244,1.09,0.0534,0.107,0.242,0.085
1252,1.103,0.0641,-0.006,0.217,0.085
1259.8,1.057,0.0546,0.145,0.244,0.086
1267.8,1.08,0.0622,0.039,0.223,0.087
1275.9,1.069,0.0621,0.074,0.228,0.086
1284.2,1.069,0.0631,0.054,0.225,0.09
1292,1.062,0.0461,0.156,0.251,0.089
1299.8,1.051,0.059,0.066,0.229,0.09
1307.8,1.054,0.066,0.041,0.221,0.09
1315.9,1.038,0.0583,0.09,0.233,0.092
1323.8,1.033,0.06,0.065,0.228,0.09
1331.8,1.032,0.0626,0.05,0.224,0.091
1339.8,1.031,0.0643,0.04,0.221,0.092
1347.8,1.003,0.061,0.091,0.232,0.092
1355.8,1.031,0.0705,0.011,0.213,0.093
1363.8,1.01,0.068,0.047,0.22,0.093
1371.8,1.027,0.0739,0.002,0.209,0.095
1379.8,0.999,0.0665,0.052,0.221,0.095
1387.8,0.999,0.0672,0.032,0.218,0.095
1395.9,0.986,0.0666,0.056,0.222,0.095
1403.8,0.994,0.0729,0.037,0.215,0.097
1411.8,0.985,0.0722,0.032,0.215,0.098
1419.8,0.979,0.0708,0.043,0.216,0.098
1427.9,0.975,0.0714,0.018,0.214,0.1
1435.7,0.975,0.076,0.053,0.214,0.099
1443.8,0.966,0.0711,0.034,0.217,0.101
1451.9,1.01,0.0795,-0.054,0.192,0.102
1459.8,0.954,0.0714,0.055,0.219,0.101
1467.8,0.983,0.0825,0.017,0.205,0.104
1475.8,0.978,0.0808,-0.01,0.203,0.104
1483.9,0.959,0.0734,0.012,0.209,0.102
