512.6,1.191,0.0727,-0.098,0.228,0.052 
518.4,1.211,0.0764,-0.086,0.229,0.062 
524.7,1.201,0.0764,-0.111,0.227,0.064 
530.4,1.184,0.0743,-0.089,0.23,0.066 
536.5,1.202,0.0793,-0.075,0.228,0.068 
542.8,1.198,0.0791,-0.086,0.227,0.070 
548.7,1.168,0.0771,-0.1,0.227,0.071 
554.5,1.159,0.0774,-0.116,0.225,0.073 
560.5,1.168,0.0797,-0.108,0.223,0.076 
566.7,1.153,0.0776,-0.086,0.228,0.077 
572.6,1.145,0.0789,-0.094,0.226,0.078 
578.5,1.121,0.0756,-0.131,0.224,0.080 
584.5,1.127,0.0779,-0.115,0.223,0.080 
590.6,1.138,0.0803,-0.106,0.223,0.084 
596.7,1.136,0.0823,-0.116,0.22,0.084 
602.5,1.125,0.0818,-0.145,0.217,0.085 
608.6,1.111,0.0815,-0.151,0.217,0.086 
614.6,1.098,0.0799,-0.142,0.219,0.090 
620.5,1.104,0.0825,-0.144,0.216,0.088 
626.7,1.104,0.0827,-0.161,0.214,0.091 
632.7,1.097,0.0832,-0.162,0.214,0.092 
638.6,1.092,0.085,-0.161,0.213,0.092 
644.6,1.087,0.085,-0.183,0.21,0.094 
650.6,1.074,0.084,-0.16,0.213,0.093 
656.6,1.071,0.0855,-0.198,0.209,0.098 
662.6,1.055,0.0824,-0.167,0.213,0.095 
668.8,1.058,0.0836,-0.177,0.211,0.097 
674.7,1.046,0.0824,-0.183,0.211,0.098 
680.6,1.039,0.0836,-0.195,0.209,0.099 
686.7,1.031,0.0823,-0.196,0.209,0.100 
692.6,1.028,0.083,-0.197,0.209,0.101 
698.6,1.035,0.0862,-0.228,0.204,0.102 
704.7,1.029,0.0861,-0.228,0.204,0.102 
710.8,1.028,0.0874,-0.242,0.201,0.104 
716.7,1.021,0.0874,-0.24,0.201,0.106 
722.7,1.022,0.0886,-0.235,0.201,0.105 
728.7,1.023,0.0908,-0.25,0.198,0.107 
734.7,1.026,0.093,-0.246,0.197,0.107 
740.7,1.018,0.0919,-0.263,0.196,0.109 
746.8,1.003,0.0903,-0.247,0.198,0.109 
752.8,0.997,0.0892,-0.253,0.199,0.109 
758.7,0.98,0.087,-0.236,0.202,0.110 
764.8,0.979,0.0881,-0.238,0.201,0.111 
770.7,0.978,0.0898,-0.241,0.2,0.111 
776.7,0.978,0.0903,-0.258,0.198,0.112 
782.7,0.965,0.0891,-0.242,0.2,0.113 
788.8,0.957,0.0887,-0.241,0.201,0.113 
794.7,0.959,0.0901,-0.248,0.2,0.115 
